#Ensemble_Gene_Id	Uniprot_id	String_id
0	FBgn0001977	DRE2_DROME	7227.FBpp0080284
1	FBgn0036774	RT26_DROME	7227.FBpp0074887
2	FBgn0011742	ARP2_DROME	7227.FBpp0302793
3	FBgn0011570	CAPZB_DROME	7227.FBpp0077549
4	None	Y2395_DROME	7227.FBpp0289303
5	FBgn0259745	WECH_DROME	7227.FBpp0289359
6	FBgn0002570	MAL2_DROME	7227.FBpp0087826
7	FBgn0003517	RSSA_DROME	7227.FBpp0070279
8	FBgn0000257	VP33A_DROME	7227.FBpp0303585
9	FBgn0032924	MUT7_DROME	7227.FBpp0081027
10	FBgn0019644	AT5F1_DROME	7227.FBpp0076134
11	FBgn0001148	GSB_DROME	7227.FBpp0072349
12	FBgn0000412	CPD1_DROME	7227.FBpp0081467
13	FBgn0011259	SEM1A_DROME	7227.FBpp0302962
14	FBgn0263852	DAD1_DROME	7227.FBpp0079324
15	FBgn0026261	RT15_DROME	7227.FBpp0071771
16	None	SDHF3_DROME	7227.FBpp0082759
17	FBgn0003575	SUS_DROME	7227.FBpp0070115
18	FBgn0003187	QUAI_DROME	7227.FBpp0297295
19	FBgn0036078	OR67C_DROME	7227.FBpp0076029
20	FBgn0004362	HMGD_DROME	7227.FBpp0071625
21	FBgn0043534	OB57B_DROME	7227.FBpp0085605
22	FBgn0030018	M3KSL_DROME	7227.FBpp0292850
23	FBgn0035167	GR61A_DROME	7227.FBpp0072482
24	FBgn0015872	AQP_DROME	7227.FBpp0303808
25	FBgn0039065	Y4449_DROME	7227.FBpp0083780
26	FBgn0086472	RS25_DROME	7227.FBpp0081845
27	FBgn0004108	NRT_DROME	7227.FBpp0075081
28	FBgn0001978	STC_DROME	7227.FBpp0080265
29	FBgn0026404	ICENC_DROME	7227.FBpp0076076
30	FBgn0015919	CAUP_DROME	7227.FBpp0075641
31	FBgn0010741	PFD2_DROME	7227.FBpp0304954
32	FBgn0034915	IF6_DROME	7227.FBpp0072144
33	FBgn0037659	JHD1_DROME	7227.FBpp0289915
34	FBgn0010238	LACH_DROME	7227.FBpp0087044
35	FBgn0030178	NNRE_DROME	7227.FBpp0288673
36	FBgn0259174	NEDD4_DROME	7227.FBpp0289746
37	FBgn0039559	MES4_DROME	7227.FBpp0084636
38	FBgn0032361	COG8_DROME	7227.FBpp0079833
39	FBgn0034025	GALT1_DROME	7227.FBpp0086464
40	FBgn0262526	VASA1_DROME	7227.FBpp0293395
41	FBgn0015129	DOPR2_DROME	7227.FBpp0303325
42	None	STEL4_DROME	7227.FBpp0289367
43	None	STEL4_DROME	7227.FBpp0289365
44	None	STEL4_DROME	7227.FBpp0289371
45	None	STEL4_DROME	7227.FBpp0289370
46	None	STEL4_DROME	7227.FBpp0289366
47	None	STEL4_DROME	7227.FBpp0289363
48	None	STEL4_DROME	7227.FBpp0289362
49	None	STEL4_DROME	7227.FBpp0289369
50	None	STEL4_DROME	7227.FBpp0289368
51	FBgn0017558	PDK_DROME	7227.FBpp0111805
52	FBgn0037962	IDLC_DROME	7227.FBpp0081988
53	FBgn0026385	OR47B_DROME	7227.FBpp0087262
54	None	TPR_DROME	7227.FBpp0304737
55	FBgn0003048	PCX_DROME	7227.FBpp0304656
56	FBgn0037073	TSR1_DROME	7227.FBpp0077998
57	FBgn0035106	RNO_DROME	7227.FBpp0072431
58	FBgn0025815	MCM6_DROME	7227.FBpp0070913
59	FBgn0016715	REG2_DROME	7227.FBpp0072460
60	FBgn0050493	COQ9_DROME	7227.FBpp0087999
61	FBgn0033524	C49A1_DROME	7227.FBpp0087403
62	FBgn0011705	ROST_DROME	7227.FBpp0303870
63	FBgn0041111	AFF4_DROME	7227.FBpp0077318
64	FBgn0004107	CDC2C_DROME	7227.FBpp0289675
65	FBgn0003598	SUV37_DROME	7227.FBpp0082204
66	None	COA3_DROME	7227.FBpp0291477
67	FBgn0011297	NT56_DROME	7227.FBpp0072004
68	FBgn0039849	MTNA_DROME	7227.FBpp0085169
69	FBgn0004629	CYTL_DROME	7227.FBpp0082439
70	FBgn0019982	GS1_DROME	7227.FBpp0077143
71	FBgn0034803	PADC1_DROME	7227.FBpp0071862
72	FBgn0262743	IMB_DROME	7227.FBpp0294035
73	FBgn0020621	PKN_DROME	7227.FBpp0111810
74	FBgn0020621	PKN_DROME	7227.FBpp0111810
75	FBgn0260400	ELAV_DROME	7227.FBpp0298002
76	FBgn0016119	ATP5J_DROME	7227.FBpp0305911
77	FBgn0011207	PELO_DROME	7227.FBpp0079444
78	None	TITIN_DROME	7227.FBpp0304920
79	FBgn0027055	CSN3_DROME	7227.FBpp0077927
80	FBgn0028836	CSN7_DROME	7227.FBpp0087821
81	FBgn0033753	CP301_DROME	7227.FBpp0086937
82	FBgn0041224	GR97A_DROME	7227.FBpp0084453
83	FBgn0023545	GPI8_DROME	7227.FBpp0070333
84	FBgn0051712	U430_DROME	7227.FBpp0079491
85	FBgn0036080	OR67D_DROME	7227.FBpp0076026
86	FBgn0259986	NAB_DROME	7227.FBpp0291243
87	FBgn0013685	NU6M_DROME	7227.FBpp0100185
88	FBgn0022023	EIF3H_DROME	7227.FBpp0078667
